"name","info","season","club","nation.","pass","app","pos.","avg_pass"
" Radostin Kishishev","Bulgaria","2006/07","  - "," Bulgaria",302,14,"MF",21.5714285714286
" Rafael van der Vaart","Netherlands","2010/11","  - "," Netherlands",1235,28,"MF",44.1071428571429
" Rafael van der Vaart","Netherlands","2011/12","  - "," Netherlands",1621,33,"MF",49.1212121212121
" Rafael van der Vaart","Netherlands","2012/13","  - "," Netherlands",61,2,"MF",30.5
" Ramires","Brazil","2010/11","  - "," Brazil",1011,29,"MF",34.8620689655172
" Ramires","Brazil","2011/12","  - "," Brazil",1000,30,"MF",33.3333333333333
" Ramires","Brazil","2012/13","  - "," Brazil",1294,35,"MF",36.9714285714286
" Ramires","Brazil","2013/14","  - "," Brazil",1392,30,"MF",46.4
" Ramires","Brazil","2014/15","  - "," Brazil",544,23,"MF",23.6521739130435
" Ramires","Brazil","2015/16","  - "," Brazil",309,12,"MF",25.75
" Raul Meireles","Portugal","2010/11","  - "," Portugal",1348,33,"MF",40.8484848484849
" Raul Meireles","Portugal","2011/12","  - "," Portugal",1337,30,"MF",44.5666666666667
" Raul Meireles","Portugal","2012/13","  - "," Portugal",71,3,"MF",23.6666666666667
" Ravel Morrison","England","2013/14","  - "," England",523,16,"MF",32.6875
" Ravel Morrison","England","2014/15","  - "," England",25,1,"MF",25
" Rees Greenwood","England","2015/16"," Sunderland  "," England",23,1,"MF",23
" Rémy Cabella","France","2014/15","  - "," France",896,31,"MF",28.9032258064516
" Ricardo Álvarez","Argentina","2014/15","  - "," Argentina",193,13,"MF",14.8461538461538
" Ricardo Gardner","Jamaica","2006/07","  - "," Jamaica",446,18,"MF",24.7777777777778
" Ricardo Gardner","Jamaica","2007/08","  - "," Jamaica",920,26,"MF",35.3846153846154
" Ricardo Gardner","Jamaica","2008/09","  - "," Jamaica",543,29,"MF",18.7241379310345
" Ricardo Gardner","Jamaica","2009/10","  - "," Jamaica",453,21,"MF",21.5714285714286
" Ricardo Gardner","Jamaica","2010/11","  - "," Jamaica",126,5,"MF",25.2
" Ricardo Gardner","Jamaica","2011/12","  - "," Jamaica",67,4,"MF",16.75
" Ricardo Quaresma","Portugal","2008/09","  - "," Portugal",34,4,"MF",8.5
" Richard Chaplow","England","2012/13","  - "," England",21,3,"MF",7
" Richard Garcia","Australia","2008/09","  - "," Australia",410,23,"MF",17.8260869565217
" Richard Garcia","Australia","2009/10","  - "," Australia",360,18,"MF",20
" Richard Hughes","Scotland","2006/07","  - "," Scotland",397,18,"MF",22.0555555555556
" Richard Hughes","Scotland","2007/08","  - "," Scotland",384,13,"MF",29.5384615384615
" Richard Hughes","Scotland","2008/09","  - "," Scotland",662,20,"MF",33.1
" Richard Hughes","Scotland","2009/10","  - "," Scotland",314,10,"MF",31.4
" Riyad Mahrez","Algeria","2014/15"," Leicester City  "," Algeria",749,30,"MF",24.9666666666667
" Riyad Mahrez","Algeria","2015/16"," Leicester City  "," Algeria",1034,37,"MF",27.9459459459459
" Robbie Blake","England","2009/10","  - "," England",664,31,"MF",21.4193548387097
" Robbie Blake","England","2010/11","  - "," England",28,8,"MF",3.5
" Robbie Blake","England","2011/12","  - "," England",9,1,"MF",9
" Robbie Brady","Ireland","2013/14","  - "," Ireland",337,16,"MF",21.0625
" Robbie Brady","Ireland","2014/15","  - "," Ireland",743,27,"MF",27.5185185185185
" Robbie Brady","Ireland","2015/16","  - "," Ireland",1138,36,"MF",31.6111111111111
" Robbie Savage","Wales","2006/07","  - "," Wales",707,21,"MF",33.6666666666667
" Robbie Savage","Wales","2007/08","  - "," Wales",715,28,"MF",25.5357142857143
" Robert Koren","Slovenia","2008/09","  - "," Slovenia",1427,35,"MF",40.7714285714286
" Robert Koren","Slovenia","2013/14","  - "," Slovenia",534,22,"MF",24.2727272727273
" Robert Milsom","England","2008/09","  - "," England",7,1,"MF",7
" Robert Pires","France","2010/11","  - "," France",183,9,"MF",20.3333333333333
" Robert Snodgrass","Scotland","2012/13","  - "," Scotland",1110,37,"MF",30
" Robert Snodgrass","Scotland","2013/14","  - "," Scotland",1106,30,"MF",36.8666666666667
" Robert Snodgrass","Scotland","2014/15","  - "," Scotland",17,1,"MF",17
" Rodrigo Possebon","Brazil","2008/09","  - "," Brazil",52,3,"MF",17.3333333333333
" Roger Espinoza","Honduras","2012/13","  - "," Honduras",358,12,"MF",29.8333333333333
" Roland Lamah","Belgium","2012/13","  - "," Belgium",78,5,"MF",15.6
" Roland Lamah","Belgium","2013/14","  - "," Belgium",244,9,"MF",27.1111111111111
" Rolando Aarons","England","2014/15","  - "," England",37,4,"MF",9.25
" Rolando Aarons","England","2015/16","  - "," England",119,10,"MF",11.9
" Rory Delap","Ireland","2008/09","  - "," Ireland",631,34,"MF",18.5588235294118
" Rory Delap","Ireland","2009/10","  - "," Ireland",763,36,"MF",21.1944444444444
" Rory Delap","Ireland","2010/11","  - "," Ireland",763,37,"MF",20.6216216216216
" Rory Delap","Ireland","2011/12","  - "," Ireland",411,26,"MF",15.8076923076923
" Rory Delap","Ireland","2012/13","  - "," Ireland",2,1,"MF",2
" Ross Barkley","England","2011/12"," Everton  "," England",95,6,"MF",15.8333333333333
" Ross Barkley","England","2012/13"," Everton  "," England",101,7,"MF",14.4285714285714
" Ross Barkley","England","2013/14"," Everton  "," England",1232,34,"MF",36.2352941176471
" Ross Barkley","England","2014/15"," Everton  "," England",1156,29,"MF",39.8620689655172
" Ross Barkley","England","2015/16"," Everton  "," England",1802,38,"MF",47.4210526315789
" Ross Wallace","Scotland","2007/08","  - "," Scotland",479,21,"MF",22.8095238095238
" Ross Wallace","Scotland","2014/15","  - "," Scotland",84,15,"MF",5.6
" Royston Drenthe","Netherlands","2011/12","  - "," Netherlands",308,21,"MF",14.6666666666667
" Ruben Loftus-Cheek","England","2014/15"," Chelsea  "," England",104,3,"MF",34.6666666666667
" Ruben Loftus-Cheek","England","2015/16"," Chelsea  "," England",243,13,"MF",18.6923076923077
" Ryan Babel","Netherlands","2007/08","  - "," Netherlands",498,30,"MF",16.6
" Ryan Babel","Netherlands","2008/09","  - "," Netherlands",347,27,"MF",12.8518518518519
" Ryan Babel","Netherlands","2009/10","  - "," Netherlands",351,25,"MF",14.04
" Ryan Babel","Netherlands","2010/11","  - "," Netherlands",50,9,"MF",5.55555555555556
" Ryan France","England","2008/09","  - "," England",21,2,"MF",10.5
" Ryan Giggs","Wales","2006/07","  - "," Wales",1023,30,"MF",34.1
" Ryan Giggs","Wales","2007/08","  - "," Wales",925,31,"MF",29.8387096774194
" Ryan Giggs","Wales","2008/09","  - "," Wales",908,28,"MF",32.4285714285714
" Ryan Giggs","Wales","2009/10","  - "," Wales",900,25,"MF",36
" Ryan Giggs","Wales","2010/11","  - "," Wales",916,25,"MF",36.64
" Ryan Giggs","Wales","2011/12","  - "," Wales",1011,25,"MF",40.44
" Ryan Giggs","Wales","2012/13","  - "," Wales",635,22,"MF",28.8636363636364
" Ryan Giggs","Wales","2013/14","  - "," Wales",287,12,"MF",23.9166666666667
" Ryan Mason","England","2014/15","  - "," England",1607,31,"MF",51.8387096774194
" Ryan Mason","England","2015/16","  - "," England",526,22,"MF",23.9090909090909
" Ryan Tunnicliffe","England","2013/14","  - "," England",40,3,"MF",13.3333333333333
" Ryo Miyaichi","Japan","2011/12","  - "," Japan",158,12,"MF",13.1666666666667
" Ryo Miyaichi","Japan","2012/13","  - "," Japan",32,4,"MF",8
" Ryo Miyaichi","Japan","2013/14","  - "," Japan",4,1,"MF",4
" Sadio Mané","Senegal","2014/15","  - "," Senegal",825,30,"MF",27.5
" Sadio Mané","Senegal","2015/16","  - "," Senegal",964,37,"MF",26.0540540540541
" Salif Diao","Senegal","2008/09","  - "," Senegal",459,20,"MF",22.95
" Salif Diao","Senegal","2009/10","  - "," Senegal",359,16,"MF",22.4375
" Salif Diao","Senegal","2010/11","  - "," Senegal",95,8,"MF",11.875
" Salif Diao","Senegal","2011/12","  - "," Senegal",46,6,"MF",7.66666666666667
" Salomon Olembé","Cameroon","2007/08","  - "," Cameroon",54,8,"MF",6.75
" Sam Field","England","2015/16","  - "," England",2,1,"MF",2
" Samba Diakité","Mali","2011/12","  - "," Mali",314,9,"MF",34.8888888888889
" Samba Diakité","Mali","2012/13","  - "," Mali",493,14,"MF",35.2142857142857
" Samir Carruthers","Ireland","2011/12","  - "," Ireland",14,3,"MF",4.66666666666667
" Samir Nasri","France","2008/09","  - "," France",1344,29,"MF",46.3448275862069
" Samir Nasri","France","2009/10","  - "," France",1163,26,"MF",44.7307692307692
" Samir Nasri","France","2010/11","  - "," France",1468,30,"MF",48.9333333333333
" Samir Nasri","France","2011/12","  - "," France",1646,31,"MF",53.0967741935484
" Samir Nasri","France","2012/13","  - "," France",1191,28,"MF",42.5357142857143
" Samir Nasri","France","2013/14","  - "," France",1899,34,"MF",55.8529411764706
" Samir Nasri","France","2014/15","  - "," France",1229,24,"MF",51.2083333333333
" Samir Nasri","France","2015/16","  - "," France",416,12,"MF",34.6666666666667
" Sandro","Brazil","2010/11","  - "," Brazil",593,19,"MF",31.2105263157895
" Sandro","Brazil","2011/12","  - "," Brazil",801,23,"MF",34.8260869565217
" Sandro","Brazil","2012/13","  - "," Brazil",931,22,"MF",42.3181818181818
" Sandro","Brazil","2013/14","  - "," Brazil",461,17,"MF",27.1176470588235
" Sandro","Brazil","2014/15","  - "," Brazil",474,17,"MF",27.8823529411765
" Sandro","Brazil","2015/16","  - "," Brazil",138,12,"MF",11.5
" Santiago Cazorla","Spain","2012/13"," Arsenal  "," Spain",2471,38,"MF",65.0263157894737
" Santiago Cazorla","Spain","2013/14"," Arsenal  "," Spain",1937,31,"MF",62.4838709677419
" Santiago Cazorla","Spain","2014/15"," Arsenal  "," Spain",2367,37,"MF",63.972972972973
" Santiago Cazorla","Spain","2015/16"," Arsenal  "," Spain",1228,15,"MF",81.8666666666667
" Scott Arfield","Canada","2014/15"," Burnley  "," Canada",1361,37,"MF",36.7837837837838
" Scott Parker","England","2006/07","  - "," England",1160,29,"MF",40
" Scott Parker","England","2007/08","  - "," England",729,18,"MF",40.5
" Scott Parker","England","2008/09","  - "," England",1624,28,"MF",58
" Scott Parker","England","2009/10","  - "," England",1507,31,"MF",48.6129032258064
" Scott Parker","England","2010/11","  - "," England",1444,32,"MF",45.125
" Scott Parker","England","2011/12","  - "," England",1721,29,"MF",59.3448275862069
" Scott Parker","England","2012/13","  - "," England",932,21,"MF",44.3809523809524
" Scott Parker","England","2013/14","  - "," England",1373,29,"MF",47.3448275862069
" Scott Sinclair","England","2006/07","  - "," England",15,2,"MF",7.5
" Scott Sinclair","England","2007/08","  - "," England",5,1,"MF",5
" Scott Sinclair","England","2008/09","  - "," England",5,2,"MF",2.5
" Scott Sinclair","England","2009/10","  - "," England",92,18,"MF",5.11111111111111
" Scott Sinclair","England","2011/12","  - "," England",945,38,"MF",24.8684210526316
" Scott Sinclair","England","2012/13","  - "," England",62,12,"MF",5.16666666666667
" Scott Sinclair","England","2013/14","  - "," England",77,8,"MF",9.625
" Scott Sinclair","England","2014/15","  - "," England",149,11,"MF",13.5454545454545
" Scott Sinclair","England","2015/16","  - "," England",345,27,"MF",12.7777777777778
" Sean Davis","England","2006/07","  - "," England",1017,31,"MF",32.8064516129032
" Sean Davis","England","2007/08","  - "," England",742,22,"MF",33.7272727272727
" Sean Davis","England","2008/09","  - "," England",1516,32,"MF",47.375
" Sean Davis","England","2009/10","  - "," England",91,3,"MF",30.3333333333333
" Sebastián Blanco","Argentina","2014/15","  - "," Argentina",18,3,"MF",6
" Sebastian Larsson","Sweden","2007/08","  - "," Sweden",826,35,"MF",23.6
" Sebastian Larsson","Sweden","2009/10","  - "," Sweden",845,33,"MF",25.6060606060606
" Sebastian Larsson","Sweden","2010/11","  - "," Sweden",1172,35,"MF",33.4857142857143
" Sebastian Larsson","Sweden","2011/12"," Sunderland  "," Sweden",981,32,"MF",30.65625
" Sebastian Larsson","Sweden","2012/13"," Sunderland  "," Sweden",1263,38,"MF",33.2368421052632
" Sebastian Larsson","Sweden","2013/14"," Sunderland  "," Sweden",1039,31,"MF",33.5161290322581
" Sebastian Larsson","Sweden","2014/15"," Sunderland  "," Sweden",1386,36,"MF",38.5
" Sebastian Larsson","Sweden","2015/16"," Sunderland  "," Sweden",236,18,"MF",13.1111111111111
" Segundo Castillo","Ecuador","2008/09","  - "," Ecuador",247,9,"MF",27.4444444444444
" Segundo Castillo","Ecuador","2009/10","  - "," Ecuador",226,8,"MF",28.25
" Seol Ki-Hyeon","South Korea","2006/07","  - "," South Korea",463,27,"MF",17.1481481481481
" Seol Ki-Hyeon","South Korea","2007/08","  - "," South Korea",141,15,"MF",9.4
" Seol Ki-Hyeon","South Korea","2008/09","  - "," South Korea",66,4,"MF",16.5
" Seol Ki-Hyeon","South Korea","2009/10","  - "," South Korea",5,2,"MF",2.5
" Serge Gnabry","Germany","2012/13","  - "," Germany",9,1,"MF",9
" Serge Gnabry","Germany","2013/14","  - "," Germany",238,9,"MF",26.4444444444444
" Serge Gnabry","Germany","2015/16","  - "," Germany",7,1,"MF",7
" Sergi Canos","Spain","2015/16","  - "," Spain",5,1,"MF",5
" Sergio Peter","Germany","2006/07","  - "," Germany",76,9,"MF",8.44444444444444
" Seyi Olofinjana","Nigeria","2008/09","  - "," Nigeria",336,18,"MF",18.6666666666667
" Seyi Olofinjana","Nigeria","2009/10","  - "," Nigeria",380,19,"MF",20
" Shane Ferguson","Northern Ireland","2010/11","  - "," Northern Ireland",111,7,"MF",15.8571428571429
" Shane Ferguson","Northern Ireland","2011/12","  - "," Northern Ireland",42,7,"MF",6
" Shane Ferguson","Northern Ireland","2012/13","  - "," Northern Ireland",114,9,"MF",12.6666666666667
" Shaun Derry","England","2011/12","  - "," England",941,29,"MF",32.448275862069
" Shaun Derry","England","2012/13","  - "," England",476,18,"MF",26.4444444444444
" Shaun MacDonald","Wales","2015/16","  - "," Wales",18,3,"MF",6
" Shaun Maloney","Scotland","2006/07","  - "," Scotland",149,8,"MF",18.625
" Shaun Maloney","Scotland","2007/08","  - "," Scotland",317,22,"MF",14.4090909090909
" Shaun Maloney","Scotland","2011/12","  - "," Scotland",367,13,"MF",28.2307692307692
" Shaun Maloney","Scotland","2012/13","  - "," Scotland",1593,36,"MF",44.25
" Shaun Newton","England","2006/07","  - "," England",29,3,"MF",9.66666666666667
" Shaun Wright-Phillips","England","2006/07","  - "," England",451,27,"MF",16.7037037037037
" Shaun Wright-Phillips","England","2007/08","  - "," England",511,27,"MF",18.9259259259259
" Shaun Wright-Phillips","England","2008/09","  - "," England",846,28,"MF",30.2142857142857
" Shaun Wright-Phillips","England","2009/10","  - "," England",512,30,"MF",17.0666666666667
" Shaun Wright-Phillips","England","2010/11","  - "," England",73,7,"MF",10.4285714285714
" Shaun Wright-Phillips","England","2011/12","  - "," England",686,32,"MF",21.4375
" Shaun Wright-Phillips","England","2012/13","  - "," England",307,20,"MF",15.35
" Shaun Wright-Phillips","England","2014/15","  - "," England",34,4,"MF",8.5
" Sheyi Ojo","England","2015/16"," Liverpool  "," England",140,8,"MF",17.5
" Shinji Kagawa","Japan","2012/13","  - "," Japan",834,20,"MF",41.7
" Shinji Kagawa","Japan","2013/14","  - "," Japan",706,18,"MF",39.2222222222222
" Siem de Jong","Netherlands","2014/15","  - "," Netherlands",42,4,"MF",10.5
" Siem de Jong","Netherlands","2015/16","  - "," Netherlands",193,18,"MF",10.7222222222222
" Simon Davies","Wales","2006/07","  - "," Wales",829,29,"MF",28.5862068965517
" Simon Davies","Wales","2007/08","  - "," Wales",1137,37,"MF",30.7297297297297
" Simon Davies","Wales","2008/09","  - "," Wales",1207,33,"MF",36.5757575757576
" Simon Davies","Wales","2009/10","  - "," Wales",473,17,"MF",27.8235294117647
" Simon Davies","Wales","2010/11","  - "," Wales",986,30,"MF",32.8666666666667
" Simon Davies","Wales","2011/12","  - "," Wales",152,6,"MF",25.3333333333333
" Simon Dawkins","Jamaica","2012/13","  - "," Jamaica",35,4,"MF",8.75
" Simon Lappin","Scotland","2011/12","  - "," Scotland",171,4,"MF",42.75
" Simon Vukcevic","Montenegro","2011/12","  - "," Montenegro",79,7,"MF",11.2857142857143
" Somen Tchoyi","Cameroon","2010/11","  - "," Cameroon",239,23,"MF",10.3913043478261
" Somen Tchoyi","Cameroon","2011/12","  - "," Cameroon",140,18,"MF",7.77777777777778
" Son Heung-Min","South Korea","2015/16"," Tottenham Hotspur  "," South Korea",447,28,"MF",15.9642857142857
" Steed Malbranque","France","2006/07","  - "," France",672,25,"MF",26.88
" Steed Malbranque","France","2007/08","  - "," France",1332,37,"MF",36
" Steed Malbranque","France","2008/09","  - "," France",1182,36,"MF",32.8333333333333
" Steed Malbranque","France","2009/10","  - "," France",807,31,"MF",26.0322580645161
" Steed Malbranque","France","2010/11","  - "," France",952,35,"MF",27.2
" Stelios Giannakopoulos","Greece","2006/07","  - "," Greece",297,23,"MF",12.9130434782609
" Stelios Giannakopoulos","Greece","2007/08","  - "," Greece",117,15,"MF",7.8
" Stelios Giannakopoulos","Greece","2008/09","  - "," Greece",13,2,"MF",6.5
" Stéphane Mbia","Cameroon","2012/13","  - "," Cameroon",1055,29,"MF",36.3793103448276
" Stéphane Sessegnon","Benin","2010/11","  - "," Benin",441,14,"MF",31.5
" Stéphane Sessegnon","Benin","2011/12","  - "," Benin",1072,36,"MF",29.7777777777778
" Stéphane Sessegnon","Benin","2012/13","  - "," Benin",918,35,"MF",26.2285714285714
" Stéphane Sessegnon","Benin","2013/14","  - "," Benin",851,28,"MF",30.3928571428571
" Stéphane Sessegnon","Benin","2014/15","  - "," Benin",684,28,"MF",24.4285714285714
" Stéphane Sessegnon","Benin","2015/16","  - "," Benin",552,25,"MF",22.08
" Stephen Hunt","Ireland","2006/07","  - "," Ireland",575,35,"MF",16.4285714285714
" Stephen Hunt","Ireland","2007/08","  - "," Ireland",825,37,"MF",22.2972972972973
" Stephen Hunt","Ireland","2009/10","  - "," Ireland",586,27,"MF",21.7037037037037
" Stephen Hunt","Ireland","2010/11","  - "," Ireland",378,20,"MF",18.9
" Stephen Hunt","Ireland","2011/12","  - "," Ireland",408,24,"MF",17
" Stephen Ireland","Ireland","2006/07","  - "," Ireland",521,24,"MF",21.7083333333333
" Stephen Ireland","Ireland","2007/08","  - "," Ireland",1138,33,"MF",34.4848484848485
" Stephen Ireland","Ireland","2008/09","  - "," Ireland",1470,35,"MF",42
" Stephen Ireland","Ireland","2009/10","  - "," Ireland",699,22,"MF",31.7727272727273
" Stephen Ireland","Ireland","2010/11","  - "," Ireland",241,12,"MF",20.0833333333333
" Stephen Ireland","Ireland","2011/12","  - "," Ireland",774,24,"MF",32.25
" Stephen Ireland","Ireland","2012/13","  - "," Ireland",360,13,"MF",27.6923076923077
" Stephen Ireland","Ireland","2013/14"," Stoke City  "," Ireland",666,25,"MF",26.64
" Stephen Ireland","Ireland","2014/15"," Stoke City  "," Ireland",445,17,"MF",26.1764705882353
" Stephen Ireland","Ireland","2015/16"," Stoke City  "," Ireland",160,13,"MF",12.3076923076923
" Stephen Pearson","Scotland","2007/08","  - "," Scotland",795,24,"MF",33.125
" Stephen Quinn","Ireland","2006/07","  - "," Ireland",432,15,"MF",28.8
" Stephen Quinn","Ireland","2013/14","  - "," Ireland",316,15,"MF",21.0666666666667
" Stephen Quinn","Ireland","2014/15","  - "," Ireland",945,28,"MF",33.75
" Steve Sidwell","England","2006/07","  - "," England",1161,35,"MF",33.1714285714286
" Steve Sidwell","England","2007/08","  - "," England",201,15,"MF",13.4
" Steve Sidwell","England","2008/09","  - "," England",310,16,"MF",19.375
" Steve Sidwell","England","2009/10","  - "," England",379,25,"MF",15.16
" Steve Sidwell","England","2010/11","  - "," England",474,16,"MF",29.625
" Steve Sidwell","England","2011/12","  - "," England",636,14,"MF",45.4285714285714
" Steve Sidwell","England","2012/13","  - "," England",1091,28,"MF",38.9642857142857
" Steve Sidwell","England","2013/14","  - "," England",1467,38,"MF",38.6052631578947
" Steve Sidwell","England","2014/15","  - "," England",247,12,"MF",20.5833333333333
" Steve Sidwell","England","2015/16","  - "," England",6,1,"MF",6
" Steven Davis","Northern Ireland","2006/07","  - "," Northern Ireland",717,28,"MF",25.6071428571429
" Steven Davis","Northern Ireland","2007/08","  - "," Northern Ireland",705,22,"MF",32.0454545454545
" Steven Davis","Northern Ireland","2012/13"," Southampton  "," Northern Ireland",1310,32,"MF",40.9375
" Steven Davis","Northern Ireland","2013/14"," Southampton  "," Northern Ireland",1831,34,"MF",53.8529411764706
" Steven Davis","Northern Ireland","2014/15"," Southampton  "," Northern Ireland",1702,35,"MF",48.6285714285714
" Steven Davis","Northern Ireland","2015/16"," Southampton  "," Northern Ireland",1505,34,"MF",44.2647058823529
" Steven Gerrard","England","2006/07","  - "," England",1756,36,"MF",48.7777777777778
" Steven Gerrard","England","2007/08","  - "," England",1653,34,"MF",48.6176470588235
" Steven Gerrard","England","2008/09","  - "," England",1709,31,"MF",55.1290322580645
" Steven Gerrard","England","2009/10","  - "," England",1702,33,"MF",51.5757575757576
" Steven Gerrard","England","2010/11","  - "," England",1256,21,"MF",59.8095238095238
" Steven Gerrard","England","2011/12","  - "," England",895,18,"MF",49.7222222222222
" Steven Gerrard","England","2012/13","  - "," England",2387,36,"MF",66.3055555555556
" Steven Gerrard","England","2013/14","  - "," England",2219,34,"MF",65.2647058823529
" Steven Gerrard","England","2014/15","  - "," England",1531,29,"MF",52.7931034482759
" Steven N'Zonzi","France","2009/10","  - "," France",1346,33,"MF",40.7878787878788
" Steven N'Zonzi","France","2010/11","  - "," France",553,21,"MF",26.3333333333333
" Steven N'Zonzi","France","2011/12","  - "," France",1736,32,"MF",54.25
" Steven N'Zonzi","France","2012/13","  - "," France",1546,35,"MF",44.1714285714286
" Steven N'Zonzi","France","2013/14","  - "," France",2051,36,"MF",56.9722222222222
" Steven N'Zonzi","France","2014/15","  - "," France",2150,38,"MF",56.5789473684211
" Steven Pienaar","South Africa","2007/08","  - "," South Africa",820,28,"MF",29.2857142857143
" Steven Pienaar","South Africa","2008/09","  - "," South Africa",1036,28,"MF",37
" Steven Pienaar","South Africa","2009/10","  - "," South Africa",1311,30,"MF",43.7
" Steven Pienaar","South Africa","2010/11","  - "," South Africa",1074,26,"MF",41.3076923076923
" Steven Pienaar","South Africa","2011/12","  - "," South Africa",726,16,"MF",45.375
" Steven Pienaar","South Africa","2012/13","  - "," South Africa",1623,35,"MF",46.3714285714286
" Steven Pienaar","South Africa","2013/14","  - "," South Africa",920,23,"MF",40
" Steven Pienaar","South Africa","2014/15","  - "," South Africa",174,9,"MF",19.3333333333333
" Steven Pienaar","South Africa","2015/16","  - "," South Africa",77,4,"MF",19.25
" Stewart Downing","England","2006/07","  - "," England",1052,34,"MF",30.9411764705882
" Stewart Downing","England","2007/08","  - "," England",1118,38,"MF",29.4210526315789
" Stewart Downing","England","2008/09","  - "," England",1297,37,"MF",35.0540540540541
" Stewart Downing","England","2009/10","  - "," England",863,25,"MF",34.52
" Stewart Downing","England","2010/11","  - "," England",1487,38,"MF",39.1315789473684
" Stewart Downing","England","2011/12","  - "," England",1245,36,"MF",34.5833333333333
" Stewart Downing","England","2012/13","  - "," England",1055,29,"MF",36.3793103448276
" Stewart Downing","England","2013/14","  - "," England",827,32,"MF",25.84375
" Stewart Downing","England","2014/15","  - "," England",1477,37,"MF",39.9189189189189
" Stilian Petrov","Bulgaria","2006/07","  - "," Bulgaria",1082,30,"MF",36.0666666666667
" Stilian Petrov","Bulgaria","2007/08","  - "," Bulgaria",725,28,"MF",25.8928571428571
" Stilian Petrov","Bulgaria","2008/09","  - "," Bulgaria",1516,36,"MF",42.1111111111111
" Stilian Petrov","Bulgaria","2009/10","  - "," Bulgaria",1412,37,"MF",38.1621621621622
" Stilian Petrov","Bulgaria","2010/11","  - "," Bulgaria",1041,27,"MF",38.5555555555556
" Stilian Petrov","Bulgaria","2011/12","  - "," Bulgaria",1165,27,"MF",43.1481481481481
" Stuart Holden","United States","2009/10","  - "," United States",36,2,"MF",18
" Stuart Holden","United States","2010/11","  - "," United States",946,26,"MF",36.3846153846154
" Stuart O'Keefe","England","2013/14","  - "," England",153,12,"MF",12.75
" Stuart O'Keefe","England","2014/15","  - "," England",32,2,"MF",16
" Sullay Kaikai","England","2015/16","  - "," England",13,1,"MF",13
" Sulley Muntari","Ghana","2007/08","  - "," Ghana",1041,29,"MF",35.8965517241379
" Sulley Muntari","Ghana","2010/11","  - "," Ghana",336,9,"MF",37.3333333333333
" Suso","Spain","2012/13","  - "," Spain",298,14,"MF",21.2857142857143
" Sylvain Marveaux","France","2011/12","  - "," France",80,7,"MF",11.4285714285714
" Sylvain Marveaux","France","2012/13","  - "," France",497,22,"MF",22.5909090909091
" Sylvain Marveaux","France","2013/14","  - "," France",156,9,"MF",17.3333333333333
" Tamir Cohen","Israel","2007/08","  - "," Israel",87,10,"MF",8.7
" Tamir Cohen","Israel","2008/09","  - "," Israel",62,4,"MF",15.5
" Tamir Cohen","Israel","2009/10","  - "," Israel",554,27,"MF",20.5185185185185
" Tamir Cohen","Israel","2010/11","  - "," Israel",97,8,"MF",12.125
" Teemu Tainio","Finland","2006/07","  - "," Finland",747,21,"MF",35.5714285714286
" Teemu Tainio","Finland","2007/08","  - "," Finland",352,16,"MF",22
" Teemu Tainio","Finland","2008/09","  - "," Finland",780,21,"MF",37.1428571428571
" Teemu Tainio","Finland","2009/10","  - "," Finland",161,6,"MF",26.8333333333333
" Thomas Gravesen","Denmark","2007/08","  - "," Denmark",91,8,"MF",11.375
" Thomas Hitzlsperger","Germany","2010/11","  - "," Germany",515,11,"MF",46.8181818181818
" Thomas Hitzlsperger","Germany","2012/13","  - "," Germany",199,7,"MF",28.4285714285714
" Tim Cahill","Australia","2006/07","  - "," Australia",530,18,"MF",29.4444444444444
" Tim Cahill","Australia","2007/08","  - "," Australia",534,18,"MF",29.6666666666667
" Tim Cahill","Australia","2008/09","  - "," Australia",1020,30,"MF",34
" Tim Cahill","Australia","2009/10","  - "," Australia",1191,33,"MF",36.0909090909091
" Tim Cahill","Australia","2010/11","  - "," Australia",820,27,"MF",30.3703703703704
" Tim Cahill","Australia","2011/12","  - "," Australia",896,35,"MF",25.6
" Tom Cairney","Scotland","2009/10","  - "," Scotland",434,11,"MF",39.4545454545455
" Tom Carroll","England","2012/13","  - "," England",100,7,"MF",14.2857142857143
" Tom Carroll","England","2014/15","  - "," England",512,13,"MF",39.3846153846154
" Tom Carroll","England","2015/16","  - "," England",338,19,"MF",17.7894736842105
" Tom Cleverley","England","2010/11","  - "," England",636,25,"MF",25.44
" Tom Cleverley","England","2011/12","  - "," England",305,10,"MF",30.5
" Tom Cleverley","England","2012/13","  - "," England",1077,22,"MF",48.9545454545455
" Tom Cleverley","England","2013/14","  - "," England",1137,22,"MF",51.6818181818182
" Tom Cleverley","England","2014/15","  - "," England",1496,32,"MF",46.75
" Tom Cleverley","England","2015/16","  - "," England",885,22,"MF",40.2272727272727
" Tom Davies","England","2015/16"," Everton  "," England",49,2,"MF",24.5
" Tom Huddlestone","England","2006/07","  - "," England",886,21,"MF",42.1904761904762
" Tom Huddlestone","England","2007/08","  - "," England",1165,28,"MF",41.6071428571429
" Tom Huddlestone","England","2008/09","  - "," England",872,22,"MF",39.6363636363636
" Tom Huddlestone","England","2009/10","  - "," England",1727,33,"MF",52.3333333333333
" Tom Huddlestone","England","2010/11","  - "," England",781,14,"MF",55.7857142857143
" Tom Huddlestone","England","2011/12","  - "," England",38,2,"MF",19
" Tom Huddlestone","England","2012/13","  - "," England",663,20,"MF",33.15
" Tom Huddlestone","England","2013/14"," Hull City  "," England",1882,36,"MF",52.2777777777778
